CDIddGO;GTIN;DESCRIO;UN.;PR. ATUAL;ESTQ. DISP.;PRE�O EFETIVO;FIG.ICMS/ICMS-ST;FIG.PIS/COFINS;NCM;
11635;7896036001172;EXTRATO TOMATE ELEFANTE POTE 300G CARNE PANELA;UN;8,99;-2;5,2867;17;1;20029000;
1503;7896036000632;EXTRATO TOMATE ELEFANTE POTE 300G CEBOLA ALHO;UN;8,99;-6;5,2867;17;1;20029000;
13145;7896036001165;EXTRATO TOMATE ELEFANTE POTE 300G PARA STROGONOFF;UN;8,99;18;4,9896;17;1;20029000;
1500;7896036000724;EXTRATO TOMATE ELEFANTE POTE 300G SEM ACUCAR;UN;8,49;17;4,9896;17;1;20029000;
4870;7896036095645;EXTRATO TOMATE ELEFANTE SACHE 190G;UN;5,99;0;3,94;17;1;20029000;
11560;7896036001592;EXTRATO TOMATE ELEFANTE SACHE 850G;UN;18,59;3;11,99;17;1;20029000;
4965;7891032015505;EXTRATO TOMATE OLE COPO 190G;UN;4,5;0;2,79;17;1;20029000;
5506;7891032015604;EXTRATO TOMATE OLE COPO 260G;UN;5,5;0;3,18;17;1;20029000;
11561;7896036001431;EXTRATO TOMATE POMODORO SACHE 300G;UN;3,49;0;2,04;17;1;20029000;
1512;7896292397873;EXTRATO TOMATE PREDILECTA COPO 270G;UN;12,99;0;0;17;1;20029000;
1511;7896102502213;EXTRATO TOMATE QUERO COPO 190G;UN;5,99;0;3,91;17;1;20029000;
1509;7896102502190;EXTRATO TOMATE QUERO LATA 840G;UN;11,5;0;0;17;1;20029000;
13146;7896292300569;EXTRATO TOMATE SACCIALI 300G ALHO CEBOLA;UN;5,99;-1;0;17;1;20029000;
8478;7897294418986;EXTRATOR GRAMPOS WALEU;UN;2,99;0;2,18;17;1;83059000;
11007;7896167066002;FACA CIMO ULTRA CORTE;UN;59,99;0;0;17;1;82119210;
9749;6912561141013;FACA IMCOL CABO PLASTICO 8 COM CHAIRA;UN;44,99;0;25,9;17;1;82119210;
9752;6912561141037;FACA IMCOL CABO PLASTICO 8 INOX;UN;34,99;0;20,66;17;1;82119210;
10251;7891060036220;FACA MUNDIAL CARNES N10;UN;59,99;0;0;17;1;82119210;
11925;7896211856030;FACA SIMONAGGIO CARBONO 5;UN;17,99;-1;0;17;1;82119210;
11926;7896211813040;FACA SIMONAGGIO CARBONO 7 CABO PLASTICO;UN;19,99;-1;0;17;1;82119210;
11104;7896211836179;FACA SIMONAGGIO CHEF INOX VERMELHA;UN;24,99;0;0;17;1;82119210;
10161;7896211876366;FACA SIMONAGGIO PAO;UN;19,99;0;11,9;17;1;82119210;
7729;7896211814771;FACA SIMONAGGIO PEIXEIRA CARBONO 7;UN;22,99;0;15,4;17;1;82119210;
7635;7891112045644;FACA TRAMONTINA 3 UND IPANEMA AZUL;UN;21,99;0;13,7;17;1;82119100;
7636;7891112044265;FACA TRAMONTINA 3 UND IPANEMA PRETA;UN;21,99;0;13,6992;17;1;82119100;
7634;7891112079588;FACA TRAMONTINA 3 UND IPANEMA VERMELHA;UN;21,99;0;13,6992;17;1;82119100;
9751;7891112003033;FACA TRAMONTINA CABO MADEIRA 8 PEXEIRA;UN;24,99;0;11,9;17;1;82119210;
7728;7891112003057;FACA TRAMONTINA COZINHA PLENUS;UN;21,5;0;13,2392;17;1;82119210;
8754;7891112003071;FACA TRAMONTINA COZINHA PLENUS N8;UN;29,99;0;18,85;17;1;82119210;
7594;7896211840282;FAQUEIRO SIMONAGGIO 25 PECAS AZUL;UN;92,99;0;58,18;17;1;82152000;
9414;7896211876496;FAQUEIRO SIMONAGGIO 25 PECAS PRETO;UN;89,99;0;59,9;17;1;82152000;
7595;7896211834335;FAQUEIRO SIMONAGGIO 25 PECAS ROSA;UN;92,99;0;59,9;17;1;82152000;
9413;7896211896487;FAQUEIRO SIMONAGGIO 25 PECAS VERMELHO;UN;89,99;0;58,18;17;1;82152000;
12146;7891112291003;FAQUEIRO TRAMONTINA 20 PECAS LEME AZUL;UN;89,99;0;52,7;17;1;82152000;
12145;7891112290976;FAQUEIRO TRAMONTINA 20 PECAS LEME PRETO;UN;89,99;0;52,7;17;1;82152000;
8483;7891112086227;FAQUEIRO TRAMONTINA 24 PECAS AZUL;UN;99,99;0;59,74;17;1;82152000;
7597;7891112112278;FAQUEIRO TRAMONTINA 24 PECAS PRETO;UN;86,99;0;58,9;17;1;82152000;
8482;7891112282834;FAQUEIRO TRAMONTINA 24 PECAS VERDE ESMERALDA;UN;86,99;0;59,98;17;1;82152000;
7596;7891112086357;FAQUEIRO TRAMONTINA 24 PECAS VERMELHO;UN;99,99;0;59,74;17;1;82152000;
12454;7896362105070;FARINHA ARROZ DALON 1KG SEM GLUTEN;UN;5,99;-1;0;7;1;11041900;
2119;7896362105193;FARINHA ARROZ DALON 500G FLOCADA;UN;2,99;0;1,9;17;1;11041900;
7274;7896038350056;FARINHA ARROZ URBANO 1KG;UN;7,99;0;5,2;40;1;11029000;
3231;7896063280250;FARINHA ARROZ VITAO 300G;UN;7,5;0;5,46;40;1;11029000;
12672;7896327501862;FARINHA AVEIA APTI 150G;UN;4,59;0;0;17;1;11041200;
9210;7891000382547;FARINHA AVEIA NESTLE 170G;UN;5,99;0;4,105;17;1;11041200;
2311;7892840815783;FARINHA AVEIA QUAKER 165G INTEGRAL;UN;7,49;0;4,79;17;1;11041200;
2314;7891095028351;FARINHA AVEIA YOKI 170G;UN;6,99;0;4,7;17;1;11041200;
13598;7898233630056;FARINHA DE MILHO BRANCA AGRICAL 1KG;UN;8,79;0;0;7;13;11041900;
12280;7896210100028;FARINHA DE MILHO DA SERRA 1KG;UN;7,49;-10;4,99;40;1;11022000;
4766;7899766809117;FARINHA DE ROSCA ART E TALENTO 500G;UN;4,99;-1;4,75;17;1;19059090;
9701;7898939091687;FARINHA DE ROSCA FAMIGLIARE 200G;UN;4,49;0;2,99;17;1;19059090;
4721;7898921851572;FARINHA DE ROSCA MILA 500G;UN;8,99;0;4,5;17;1;19054000;
2303;7891000358764;FARINHA LACTEA NESTLE LATA 360G ORIGINAL;UN;18,5;0;12,46;17;1;19011020;
8556;7891000369340;FARINHA LACTEA NESTLE SACHE 160G ORIGINAL;UN;9,49;0;6,3967;17;1;19011020;
7375;7891000099032;FARINHA LACTEA NESTLE SACHE 210G ORIGINAL;UN;15,39;-2;8,19;17;1;19011020;
1967;7897656600660;FARINHA MANDIOCA CALDAO 1KG FINA;UN;8,59;0;4,45;40;21;11062000;
2126;7896015910013;FARINHA MANDIOCA PINDUCA 1KG BRANCA;UN;11,99;8;7,754;40;21;11062000;
1966;7896015910006;FARINHA MANDIOCA PINDUCA 1KG TORRADA;UN;12,89;4;8,411;40;21;11062000;
1964;7896015910037;FARINHA MANDIOCA PINDUCA 500G BRANCA;UN;5,99;0;4,19;40;21;11062000;
1965;7896015910020;FARINHA MANDIOCA PINDUCA 500G TORRADA;UN;6,69;-4;4,182;40;21;11062000;
12732;7896655405504;FARINHA MANDIOCA ROCHA 1KG BRANCA;UN;6,99;9;3,915;40;21;11062000;
12734;7896655401018;FARINHA MANDIOCA ROCHA 1KG BRANCA FINA;UN;5,99;-1;0;40;21;11062000;
13584;7896655405337;FARINHA MANDIOCA ROCHA BIJU 500GR;UN;4,29;12;2,9025;40;21;11062000;
1902;7896659600097;FARINHA MILHO BEATRIZ 1KG FUBA MEDIA;UN;6,8;0;4,336;40;13;11022000;
13597;7898233630049;FARINHA MILHO BIJU AGRICAL 1KG;UN;8,79;0;0;7;13;11041900;
2123;7896363400020;FARINHA MILHO BIJU CAMPO LARGO 1KG AMARELA;UN;7,49;0;4,99;40;13;11022000;
2122;7896363400013;FARINHA MILHO BIJU CAMPO LARGO 1KG BRANCA;UN;9,99;0;6,99;40;13;11022000;
8427;7896210100011;FARINHA MILHO BIJU DA SERRA 1KG BRANCA;UN;11,5;-2;6,99;40;13;11022000;
2124;7896815200109;FARINHA MILHO BIJU IPANEMA 1KG BRANCA;UN;12,99;0;0;40;1;11022000;
8249;7896781300025;FARINHA MILHO BIJU STROPARO 1KG AMARELA;UN;12,5;0;8,5624;7;13;11041900;
2125;7896781300018;FARINHA MILHO BIJU STROPARO 1KG BRANCA;UN;18,5;0;10,89;40;13;11022000;
2120;7896362105223;FARINHA MILHO DALON 400G FLOCADA;UN;1,99;0;1,3;17;13;11041900;
2121;7896335001644;FARINHA MILHO KANTY 500G FLOCADA;UN;4,49;0;2,948;17;13;11022000;
1900;7896408420013;FARINHA MILHO LIBARDONI 1KG FUBA;UN;5,99;19;3,594;40;13;11022000;
5546;7896408420020;FARINHA MILHO LIBARDONI 5KG FUBA;UN;24,99;3;17,97;40;13;11022000;
1901;7896533600052;FARINHA MILHO MALETTI 1KG FUBA;UN;4,5;0;0;40;13;11022000;
12205;7896300700695;FARINHA MILHO REALTA 1KG FUBA;UN;5,29;-6;0;40;13;11022000;
12206;7896659602107;FARINHA MILHO SANADUVA 1KG FUBA;UN;5,49;0;0;40;13;11022000;
4881;7892300000933;FARINHA MILHO SINHA 500G FLOCADA;UN;3,99;-14;1,675;17;13;11041900;
11957;7896097400365;FARINHA MILHO ZANIN 1KG FUBA;UN;5,49;0;0;40;13;11022000;
12279;7896412803031;FARINHA PANKO 250 GR;UN;12,39;-3;0;40;21;11062000;
1912;7896300700626;FARINHA TRIGO AURIVERDE 1KG;UN;3,99;0;2,83;40;16;11010010;
10054;7896300700640;FARINHA TRIGO AURIVERDE 5KG;UN;12,99;-1;12,99;40;16;11010010;
2134;7896300702200;FARINHA TRIGO CLARISSIMA 5KG;UN;17,9;-15;10,25;40;16;11010010;
5674;7896408410014;FARINHA TRIGO LIBARDONI 1KG;UN;6,99;-3;4,76;40;16;11010010;
10772;7896408445412;FARINHA TRIGO LIBARDONI 1KG INTEGRAL;UN;6,99;0;4,998;40;16;11010010;
2132;7896408410021;FARINHA TRIGO LIBARDONI 5KG;UN;24,9;0;18,503;40;16;11010010;
1913;7896533600038;FARINHA TRIGO MALETTI 1KG;UN;4,99;0;0;40;1;11010010;
2135;7896533600014;FARINHA TRIGO MALETTI 5KG;UN;17,99;0;0;40;1;11010010;
12356;7896315400023;FARINHA TRIGO MARIA INES 5KG;UN;19,9;-16;0;40;16;11010010;
11667;7896021810017;FARINHA TRIGO NORDESTE 1KG;UN;5,99;-11;3,7;40;16;11010010;
2131;7896021810055;FARINHA TRIGO NORDESTE 5KG;UN;20,99;-17;16,5;40;16;11010010;
1914;7896412802300;FARINHA TRIGO ORQUIDEA 1KG INTEGRAL;UN;8,5;0;0;40;1;11010010;
4640;7896412819247;FARINHA TRIGO ORQUIDEA 5KG;UN;20,99;0;18,7;40;16;11010010;
4170;7896300702248;FARINHA TRIGO REALTA 1KG INTEGRAL;UN;7,5;0;3,93;40;16;11010010;
9131;7896300701388;FARINHA TRIGO REALTA 1KG PAO CENTEIO;UN;6,99;-2;4,97;12;1;19012090;
1915;7896300701364;FARINHA TRIGO REALTA 1KG PAO INTEGRAL;UN;7,5;-2;0;40;17;11010010;
4642;7896300701241;FARINHA TRIGO REALTA 5KG OURO;UN;26,99;-3;19,3808;40;17;11010010;
4571;7896659600028;FARINHA TRIGO SANANDUVA 1KG;UN;5,99;0;3,97;40;16;11010010;
2133;7896659600011;FARINHA TRIGO SANANDUVA 5KG;UN;21,99;-5;0;40;16;11010010;
4641;7896407900011;FARINHA TRIGO TOZZO 5KG;UN;19,99;0;15,49;40;16;11010010;
12424;7896655405269;FAROFA MANDIOCA AMARELA GROSSA 1KG ROCHA;UN;7,39;-36;5,193;17;1;11062000;
8786;7895060502709;FAROFA MANDIOCA CHURRASQUEIRO 200G TORRESMO;UN;9,99;0;6,6925;17;1;19019090;
2127;7896015911744;FAROFA MANDIOCA PINDUCA 250G BACON;UN;6,29;6;3,32;17;1;19019090;
1974;7896015911843;FAROFA MANDIOCA PINDUCA 250G CALABRESA;UN;6,29;-4;3,79;17;1;19019090;
2129;7896015912208;FAROFA MANDIOCA PINDUCA 250G CARNE SECA;UN;6,29;-2;3,33;17;1;19019090;
